"binID","warehouseID","binCode","type","defaultProductCodes","createdAt","updatedAt"
f46924ad-919a-48be-a6b3-e6b2ebdc7541,d522d759-0759-4dbd-8e08-c7bf32fcf827,LA-01,INVENTORY,,2025-04-07 15:32:00.000 -0300,2025-04-07 15:32:00.000 -0300
"563e9370-41d6-4bf6-ab70-ebd898797343",d522d759-0759-4dbd-8e08-c7bf32fcf827,LA-02,INVENTORY,,2025-04-07 15:32:00.000 -0300,2025-04-07 15:32:00.000 -0300
"7fcbe900-9313-43ab-94ae-e9ef2e3beb63",d522d759-0759-4dbd-8e08-c7bf32fcf827,LA-03,INVENTORY,,2025-04-07 15:32:00.000 -0300,2025-04-07 15:32:00.000 -0300
dfde0683-96d4-49f2-8d2e-e063bd687c9e,d522d759-0759-4dbd-8e08-c7bf32fcf827,LA-04,INVENTORY,,2025-04-07 15:32:00.000 -0300,2025-04-07 15:32:00.000 -0300
"2866d821-1f17-4881-9a1d-dd414714b973",d522d759-0759-4dbd-8e08-c7bf32fcf827,LA-05,INVENTORY,,2025-04-07 15:32:00.000 -0300,2025-04-07 15:32:00.000 -0300
"9248a8cd-73d6-45ae-898e-63a1b3227a6b",d522d759-0759-4dbd-8e08-c7bf32fcf827,LA-06,INVENTORY,,2025-04-07 15:32:00.000 -0300,2025-04-07 15:32:00.000 -0300
"70072847-5774-4103-91be-f2603b072025",d522d759-0759-4dbd-8e08-c7bf32fcf827,LA-07,INVENTORY,,2025-04-07 15:32:00.000 -0300,2025-04-07 15:32:00.000 -0300
"4a272b1a-50d9-4894-8256-9a28957cfd3e",d522d759-0759-4dbd-8e08-c7bf32fcf827,LA-08,INVENTORY,,2025-04-07 15:32:00.000 -0300,2025-04-07 15:32:00.000 -0300
e9ef6d44-c2c8-47cd-a452-f007fe9c1b29,d522d759-0759-4dbd-8e08-c7bf32fcf827,LA-09,INVENTORY,,2025-04-07 15:32:00.000 -0300,2025-04-07 15:32:00.000 -0300
eab3c5de-58d8-438b-b861-53932b0f03a4,d522d759-0759-4dbd-8e08-c7bf32fcf827,LA-10,INVENTORY,,2025-04-07 15:32:00.000 -0300,2025-04-07 15:32:00.000 -0300
"0a0dbec5-95e9-49a6-86e5-06c58bf62720",d522d759-0759-4dbd-8e08-c7bf32fcf827,LA-11,INVENTORY,,2025-04-07 15:32:00.000 -0300,2025-04-07 15:32:00.000 -0300
"28d1da55-5e65-4199-aabf-43b596c2b06d",d522d759-0759-4dbd-8e08-c7bf32fcf827,LA-12,INVENTORY,,2025-04-07 15:32:00.000 -0300,2025-04-07 15:32:00.000 -0300
"4f80a76b-0c18-40c4-8c1d-e634875852f5",d522d759-0759-4dbd-8e08-c7bf32fcf827,LA-13,INVENTORY,,2025-04-07 15:32:00.000 -0300,2025-04-07 15:32:00.000 -0300
aa542346-e2ea-46b7-b385-a23647750e53,d522d759-0759-4dbd-8e08-c7bf32fcf827,LA-14,INVENTORY,,2025-04-07 15:32:00.000 -0300,2025-04-07 15:32:00.000 -0300
